attachment1,attachment2,diffusion1,diffusion2,total,attachment1_norm,attachment2_norm,diffusion1_norm,diffusion2_norm
57,1142,201,12793,20726,0.0027501688700183346,0.05509987455370067,0.009697963910064653,0.6172440413007816
46,1089,160,12341,20267,0.002269699511521192,0.05373266887057779,0.00789460699659545,0.6089209059061529
12,253,60,3343,5429,0.0022103518143304474,0.046601584085466934,0.011051759071652238,0.6157671762755572
29,350,188,4538,7437,0.003899421809869571,0.04706198736049482,0.025279010353637218,0.6101922818340729
0,0,1,0,1,0.0,0.0,1.0,0.0
19,325,116,4516,7286,0.002607740872906945,0.04460609387867143,0.01592094427669503,0.6198188306340928
10,262,53,3024,4801,0.002082899395959175,0.05457196417413039,0.011039366798583628,0.6298687773380546
22,434,119,5373,8734,0.0025188916876574307,0.049690863292878404,0.013624914128692467,0.6151820471719716
18,532,115,6492,10498,0.0017146123071061154,0.05067631929891408,0.010954467517622404,0.6184035054296056
10,157,22,2062,3274,0.0030543677458766036,0.04795357361026267,0.006719609040928528,0.6298106291997556
6,236,35,2749,4464,0.0013440860215053765,0.0528673835125448,0.007840501792114695,0.6158154121863799
14,480,97,5261,8614,0.00162526120269329,0.05572324123519851,0.011260738332946366,0.610749941954957
16,398,77,4677,7688,0.002081165452653486,0.051768990634755464,0.010015608740894901,0.6083506763787722
33,671,69,7746,12724,0.002593524049041182,0.052734988997170704,0.005422823011631562,0.6087708267840302
9,180,57,2020,3314,0.002715751357875679,0.05431502715751358,0.0171997585998793,0.6095353047676524
0,8,30,80,174,0.0,0.04597701149425287,0.1724137931034483,0.45977011494252873
7,123,14,1277,2206,0.003173164097914778,0.0557570262919311,0.006346328195829556,0.5788757932910245
2,106,66,1235,1997,0.00100150225338007,0.053079619429143715,0.033049574361542315,0.6184276414621933
1,2,3,52,88,0.011363636363636364,0.022727272727272728,0.03409090909090909,0.5909090909090909
3,22,18,254,456,0.006578947368421052,0.04824561403508772,0.039473684210526314,0.5570175438596491
11,214,106,2312,3839,0.0028653295128939827,0.055743683250846575,0.027611357124251105,0.6022401667100807
3,63,14,739,1232,0.002435064935064935,0.05113636363636364,0.011363636363636364,0.5998376623376623
4,41,11,780,1198,0.00333889816360601,0.034223706176961605,0.009181969949916527,0.6510851419031719
21,727,158,8666,14280,0.0014705882352941176,0.05091036414565826,0.011064425770308124,0.6068627450980392
0,56,21,603,973,0.0,0.05755395683453238,0.02158273381294964,0.6197327852004111
14,494,34,5588,9086,0.0015408320493066256,0.05436935945410522,0.0037420206911732336,0.6150121065375302
14,421,128,5061,8195,0.0017083587553386212,0.05137278828553996,0.01561928004881025,0.6175716900549115
7,132,51,2097,3274,0.0021380574221136223,0.04031765424557117,0.015577275503970677,0.6405009163103238
13,235,82,3136,5043,0.002577830656355344,0.04659924648026968,0.016260162601626018,0.6218520721792584
1,10,20,185,269,0.0037174721189591076,0.03717472118959108,0.07434944237918216,0.6877323420074349
2,59,29,636,1091,0.0018331805682859762,0.054078826764436295,0.026581118240146653,0.5829514207149404
17,347,51,4045,6504,0.0026137761377613778,0.05335178351783518,0.007841328413284132,0.6219249692496925
7,146,100,1912,3138,0.0022307202039515616,0.04652644996813257,0.03186743148502231,0.6093052899936265
5,73,34,602,1100,0.004545454545454545,0.06636363636363636,0.03090909090909091,0.5472727272727272
2,259,92,3051,4918,0.00040666937779585197,0.05266368442456283,0.01870679137860919,0.6203741358275722
1,18,24,205,358,0.002793296089385475,0.05027932960893855,0.0670391061452514,0.5726256983240223
7,95,36,1237,1949,0.0035915854284248334,0.04874294510005131,0.018471010774756286,0.6346844535659313
8,214,38,2552,4077,0.0019622271277900416,0.052489575668383616,0.009320578857002697,0.6259504537650233
1,31,9,490,829,0.0012062726176115801,0.03739445114595899,0.010856453558504222,0.5910735826296744
7,180,78,2266,3497,0.0020017157563625965,0.05147269087789534,0.022304832713754646,0.6479839862739492
10,175,36,2288,3600,0.002777777777777778,0.04861111111111111,0.01,0.6355555555555555
9,247,66,2844,4570,0.0019693654266958426,0.054048140043763675,0.014442013129102845,0.6223194748358862
5,64,35,891,1504,0.003324468085106383,0.0425531914893617,0.02327127659574468,0.5924202127659575
11,419,108,4934,8155,0.00134886572654813,0.05137952176578786,0.013243408951563458,0.6050275904353157
19,249,80,3395,5476,0.0034696859021183346,0.04547114682249817,0.014609203798392988,0.6199780861943024
16,353,96,4351,7053,0.0022685382106904864,0.05004962427335886,0.013611229264142918,0.6169006096696441
5,95,2,983,1589,0.0031466331025802393,0.059786028949024544,0.0012586532410320957,0.618628067967275
46,713,110,8557,13814,0.0033299551179962355,0.05161430432894165,0.007962936151730129,0.619444042275952
9,257,52,2941,4855,0.0018537590113285273,0.0529351184346035,0.010710607621009269,0.6057672502574666
4,114,45,1229,2043,0.0019579050416054823,0.055800293685756244,0.022026431718061675,0.6015663240332844
19,407,86,5003,7981,0.00238065405337677,0.050996115774965545,0.0107755920310738,0.6268638015286305
